,index,ticker,Date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,Adj Close,adj_volume
3769,15807297,SPY,2008-09-15,121.629997,125.650002,119.889999,120.089996,483607000.0,0.0,1.0,88.38779654311257,91.3091103045714,87.12335032916239,87.26868696141794,483607000.0
3770,15807298,SPY,2008-09-12,124.290001,126.209999,123.830002,126.089996,297851200.0,0.0,1.0,90.32080565398071,91.71605679903487,89.98652711229798,91.62885133155004,297851200.0
3771,15807299,SPY,2008-09-11,122.120003,125.739998,121.599998,125.510002,375369400.0,0.0,1.0,88.74388099350439,91.37450986334711,88.36599644795598,91.20737313593496,375369400.0
3772,15807300,SPY,2008-09-10,123.889999,124.900002,122.550003,123.720001,298916600.0,0.0,1.0,90.03012657591712,90.76408975830488,89.05635944003053,89.90659003881817,298916600.0
3773,15807301,SPY,2008-09-09,127.099998,127.360001,122.800003,123.220001,377326800.0,0.0,1.0,92.36281378724374,92.55175642336498,89.23803295545271,89.54324300797383,377326800.0
3774,15807302,SPY,2008-09-08,128.039993,128.240005,124.419998,126.989998,364075300.0,0.0,1.0,93.0459025717608,93.19125010442728,90.41527370191808,92.28287744045798,364075300.0
3775,15807303,SPY,2008-09-05,123.290001,124.949997,122.0,124.419998,289503400.0,0.0,1.0,89.59411159229204,90.800420827919,88.65667552601957,90.41527370191808,289503400.0
3776,15807304,SPY,2008-09-04,126.970001,127.230003,123.959999,124.029999,340042500.0,0.0,1.0,92.2683457393064,92.45728764873355,90.08099516023532,90.13186374455354,340042500.0
3777,15807305,SPY,2008-09-03,127.879997,128.5,126.93,127.879997,251947000.0,0.0,1.0,92.92963442866686,93.38018692699602,92.2392772501448,92.92963442866686,251947000.0
3778,15807306,SPY,2008-09-02,130.029999,130.710007,127.519997,127.989998,252364900.0,0.0,1.0,94.49202811468564,94.98618589018643,92.66802456645893,93.00957150214668,252364900.0
3779,15807307,SPY,2008-08-29,129.729996,130.139999,128.509995,128.789993,189195800.0,0.0,1.0,94.27401771609686,94.5719644614714,93.3874502341426,93.59092311802732,189195800.0
3780,15807308,SPY,2008-08-28,129.279999,130.339996,129.110001,130.190002,167537100.0,0.0,1.0,93.94700756841914,94.71730109372696,93.8234710313202,94.60830134463802,167537100.0
3781,15807309,SPY,2008-08-27,127.550003,128.830002,127.300003,128.630005,171032800.0,0.0,1.0,92.68982974847395,93.6199974207414,92.5081562330518,93.47466078848586,171032800.0
3782,15807310,SPY,2008-08-26,127.019997,127.870003,126.580002,127.389999,159117200.0,0.0,1.0,92.3046775356146,92.92237184821434,91.98493578194189,92.57355579182752,159117200.0
3783,15807311,SPY,2008-08-25,128.800003,129.649994,126.75,127.019997,171936900.0,0.0,1.0,93.59819732558482,94.21588073777365,92.10847231904084,92.3046775356146,171936900.0
3784,15807312,SPY,2008-08-22,128.669998,129.649994,127.800003,129.649994,167715300.0,0.0,1.0,93.50372346409496,94.21588073777365,92.87150326389612,94.21588073777365,167715300.0
3785,15807313,SPY,2008-08-21,126.75,128.440002,126.599998,127.800003,180609800.0,0.0,1.0,92.10847231904084,93.33658673668282,91.9994667563994,92.87150326389612,180609800.0
3786,15807314,SPY,2008-08-20,127.389999,127.949997,126.339996,127.580002,225498200.0,0.0,1.0,92.57355579182752,92.98050301298504,91.8105248469722,92.71162984363056,225498200.0
3787,15807315,SPY,2008-08-19,127.419998,127.690002,126.529999,126.989998,194673700.0,0.0,1.0,92.59535588698412,92.79156619041632,91.94859889877526,92.28287744045798,194673700.0
3788,15807316,SPY,2008-08-18,130.429993,130.479996,127.660004,128.389999,172275100.0,0.0,1.0,94.78270137919677,94.81903826236338,92.76976682195378,93.3002498535162,172275100.0
3789,15807317,SPY,2008-08-15,129.929993,130.5,129.300003,130.169998,181000800.0,0.0,1.0,94.4193543483524,94.8335750503734,93.96154435642916,94.593764556628,181000800.0
3790,15807318,SPY,2008-08-14,127.839996,130.279999,127.75,129.539993,239555300.0,0.0,1.0,92.90056593950524,94.67370163010784,92.8351663807295,94.13594366429383,239555300.0
3791,15807319,SPY,2008-08-13,128.789993,129.649994,127.669998,128.570007,256393200.0,0.0,1.0,93.59092311802732,94.21588073777365,92.7770294024063,93.43106059817266,256393200.0
3792,15807320,SPY,2008-08-12,130.279999,130.699997,128.729996,129.350006,213200800.0,0.0,1.0,94.67370163010784,94.97891168262896,93.54732365440816,93.99788123959578,213200800.0
3793,15807321,SPY,2008-08-11,129.470001,131.509995,129.229996,130.710007,249425800.0,0.0,1.0,94.0850808935281,95.56753241920866,93.91067068525253,94.98618589018643,249425800.0
3794,15807322,SPY,2008-08-08,126.580002,129.929993,126.379997,129.369995,260811700.0,0.0,1.0,91.98493578194189,94.4193543483524,91.83959333613385,94.01240712719486,260811700.0
3795,15807323,SPY,2008-08-07,127.959999,128.440002,126.540001,127.010002,246312500.0,0.0,1.0,92.98777140699006,93.33658673668282,91.95586729278028,92.297414228468,246312500.0
3796,15807324,SPY,2008-08-06,128.020004,129.300003,127.480003,128.929993,209555400.0,0.0,1.0,93.0313766841617,93.96154435642916,92.63896116415576,93.69266028666372,209555400.0
3797,15807325,SPY,2008-08-05,126.019997,128.559998,124.970001,128.360001,251577600.0,0.0,1.0,91.5779834739259,93.42378711730925,90.81495761592902,93.27845048505368,251577600.0
3798,15807326,SPY,2008-08-04,126.040001,126.139999,124.760002,124.989998,188239600.0,0.0,1.0,91.59252026193592,91.66518821471666,90.66235258966846,90.8294893170806,188239600.0
3799,15807327,SPY,2008-08-01,127.120003,127.279999,125.459999,126.160004,248690900.0,0.0,1.0,92.37735130194784,92.49361944504176,91.17103625276836,91.67972572942077,248690900.0
3800,15807328,SPY,2008-07-31,127.400002,128.570007,126.629997,126.830002,277402100.0,0.0,1.0,92.5808249125266,93.43106059817266,92.021266851556,92.16660929736403,277402100.0
3801,15807329,SPY,2008-07-30,127.110001,128.600006,126.279999,128.529999,354710000.0,0.0,1.0,92.37008290794282,93.45286069332928,91.76692538335308,93.40198702215262,354710000.0
3802,15807330,SPY,2008-07-29,123.980003,126.379997,123.639999,126.279999,261505600.0,0.0,1.0,90.09553194824537,91.83959333613385,89.84845306049495,91.76692538335308,261505600.0
3803,15807331,SPY,2008-07-28,125.510002,126.059998,123.419998,123.639999,205201300.0,0.0,1.0,91.20737313593496,91.6070519630875,89.68857964022938,89.84845306049495,205201300.0
3804,15807332,SPY,2008-07-25,125.889999,126.489998,125.169998,125.480003,219131000.0,0.0,1.0,91.48351469929447,91.91953040961364,90.96029424818458,91.18557304077838,219131000.0
3805,15807333,SPY,2008-07-24,128.339996,128.410004,125.160004,125.510002,248634500.0,0.0,1.0,93.2639129703496,93.31478736822028,90.95303166773206,91.20737313593496,248634500.0
3806,15807334,SPY,2008-07-23,127.889999,129.149994,127.550003,128.169998,311698400.0,0.0,1.0,92.93690282267188,93.8525337069293,92.68982974847395,93.14037643325062,311698400.0
3807,15807335,SPY,2008-07-22,125.150002,127.800003,124.849998,127.480003,296904200.0,0.0,1.0,90.94576327372704,92.87150326389612,90.7277521484442,92.63896116415576,296904200.0
3808,15807336,SPY,2008-07-21,126.510002,126.800003,125.190002,126.050003,222863000.0,0.0,1.0,91.93406719762366,92.14480920220744,90.9748310361946,91.59978865594093,222863000.0
3809,15807337,SPY,2008-07-18,126.169998,126.419998,125.150002,125.980003,267030100.0,0.0,1.0,91.68698830987329,91.86866182529543,90.94576327372704,91.54892007162272,267030100.0
3810,15807338,SPY,2008-07-17,125.139999,126.260002,124.089996,125.199997,375490600.0,0.0,1.0,90.93849415302796,91.75239368220149,90.17546320817269,90.98209434334116,375490600.0
3811,15807339,SPY,2008-07-16,121.449997,124.57,121.099998,123.959999,371642900.0,0.0,1.0,88.2569916120086,90.52427926455948,88.00264941711163,90.08099516023532,371642900.0
3812,15807340,SPY,2008-07-15,121.800003,123.489998,120.019997,120.989998,502502500.0,0.0,1.0,88.51133889376402,89.73944822454759,87.21781910379379,87.92271307032587,502502500.0
3813,15807341,SPY,2008-07-14,125.260002,125.5,122.400002,122.720001,322720800.0,0.0,1.0,91.0256996205128,91.20010474192996,88.94735460408317,89.17989597712948,322720800.0
3814,15807342,SPY,2008-07-11,123.970001,125.900002,122.489998,123.839996,481124600.0,0.0,1.0,90.08826355424034,91.49078381999357,89.0127541628589,89.9937896927505,481124600.0
3815,15807343,SPY,2008-07-10,124.43,125.790001,123.580002,125.300003,436475700.0,0.0,1.0,90.42254209592308,91.41084674651376,89.80485359687582,91.0547681096744,436475700.0
3816,15807344,SPY,2008-07-09,127.5,127.739998,124.389999,124.790001,336729400.0,0.0,1.0,92.65349286530734,92.8278979867245,90.39347360676146,90.68415268482508,336729400.0
3817,15807345,SPY,2008-07-08,124.989998,127.389999,124.199997,127.239998,375973700.0,0.0,1.0,90.8294893170806,92.57355579182752,90.25540028165248,92.46455095588016,375973700.0
3818,15807346,SPY,2008-07-07,126.790001,127.339996,123.919998,125.019997,372427300.0,0.0,1.0,92.13754080820244,92.5372189086609,90.05192667107373,90.85128941223722,372427300.0
3819,15807347,SPY,2008-07-03,127.110001,127.110001,124.989998,126.309998,239352500.0,0.0,1.0,92.37008290794282,92.37008290794282,90.8294893170806,91.78872547850968,239352500.0
3820,15807348,SPY,2008-07-02,128.789993,129.160004,125.949997,126.18,288064600.0,0.0,1.0,93.59092311802732,93.8598079144868,91.52711488960767,91.69425670387828,288064600.0
3821,15807349,SPY,2008-07-01,126.519997,128.470001,125.93,128.380005,388622000.0,0.0,1.0,91.94133050477024,93.35838683183944,91.5125831884561,93.2929872730637,388622000.0
3822,15807350,SPY,2008-06-30,127.889999,128.910004,127.300003,127.980003,258842600.0,0.0,1.0,92.93690282267188,93.67813439906462,92.5081562330518,93.00230819500008,258842600.0
3823,15807351,SPY,2008-06-27,128.279999,128.860001,127.040001,127.529999,303423400.0,0.0,1.0,93.22031350673043,93.64179751589802,92.3192143236246,92.67529296046392,303423400.0
3824,15807391,SPY,2008-06-26,130.570007,131.419998,128.080002,128.229996,297775000.0,0.0,1.0,94.88444872155004,95.50213213373884,93.0749768744749,93.18397662356384,297775000.0
3825,15807392,SPY,2008-06-25,131.720001,133.399994,131.240005,131.809998,287853900.0,0.0,1.0,95.72014253232764,96.9409834691062,95.37133228949332,95.78554281779743,287853900.0
3826,15807393,SPY,2008-06-24,131.050003,132.440002,130.190002,131.190002,267300600.0,0.0,1.0,95.23325896438436,96.24336298343756,94.60830134463802,95.3349954063267,267300600.0
3827,15807395,SPY,2008-06-23,132.089996,132.229996,131.320007,131.449997,165096400.0,0.0,1.0,95.98901570168216,96.09075287031855,95.42946926781654,95.52393222889546,165096400.0
3828,15807397,SPY,2008-06-20,132.839996,133.089996,131.220001,131.580002,289275700.0,0.669,1.0,96.53403624794868,96.71570976337084,95.3567955014833,95.6184060903853,289275700.0
3829,15807398,SPY,2008-06-19,134.149994,135.240005,133.5,134.419998,304204900.0,0.0,1.0,96.99285748345191,97.78095503326168,96.52290013550676,97.18807522973049,304204900.0
3830,15807403,SPY,2008-06-18,134.690002,135.520004,133.710007,134.25,265893000.0,0.0,1.0,97.38329297600905,97.9833993442358,96.67473897212668,97.06516361941412,265893000.0
3831,15807404,SPY,2008-06-17,137.070007,137.119995,135.369995,135.570007,191707700.0,0.0,1.0,99.10407938003156,99.14022160274295,97.87494014029252,98.01955241221688,191707700.0
3832,15807405,SPY,2008-06-16,135.550003,136.929993,135.460007,136.229996,185832500.0,0.0,1.0,98.00508916057412,99.00284674078382,97.94002043457714,98.49673632485758,185832500.0
3833,15807406,SPY,2008-06-13,135.169998,136.520004,134.419998,136.149994,244726900.0,0.0,1.0,97.73033871363782,98.70641732277892,97.18807522973049,98.43889344053817,244726900.0
3834,15807407,SPY,2008-06-12,134.600006,135.869995,133.520004,134.449997,252791800.0,0.0,1.0,97.31822425001208,98.23644912956406,96.53736338714955,97.2097650460688,252791800.0
3835,15807408,SPY,2008-06-11,135.970001,136.259995,133.929993,133.940002,283890100.0,0.0,1.0,98.30875526552626,98.5184261411959,96.83379280515446,96.8410294921017,283890100.0
3836,15807409,SPY,2008-06-10,135.669998,137.100006,135.350006,135.940002,260234900.0,0.0,1.0,98.0918477029094,99.12576919636987,97.86048773391944,98.28706544918792,260234900.0
3837,15807410,SPY,2008-06-09,136.860001,137.5,135.410004,136.619995,228263900.0,0.0,1.0,98.95224126642964,99.41497204967926,97.90386736659605,98.7787126134714,228263900.0
3838,15807411,SPY,2008-06-06,139.550003,139.800003,136.220001,136.289993,384276300.0,0.0,1.0,100.8971610747466,101.07791556938238,98.48950976016204,98.54011523451624,384276300.0
3839,15807412,SPY,2008-06-05,138.580002,140.889999,138.320007,140.779999,237867100.0,0.0,1.0,100.1958329125418,101.86600227392246,100.00785185321048,101.78647029628272,237867100.0
3840,15807413,SPY,2008-06-04,137.699997,139.160004,137.460007,138.020004,246637700.0,0.0,1.0,99.55957347633397,100.61518478613274,99.38605639166336,99.7909442905936,246637700.0
3841,15807414,SPY,2008-06-03,139.300003,139.619995,137.229996,138.089996,271965700.0,0.0,1.0,100.7164065801108,100.94776654910078,99.2197543034007,99.8415497649478,271965700.0
3842,15807415,SPY,2008-06-02,139.830002,139.860001,138.0,138.899994,181069900.0,0.0,1.0,101.0996053857207,101.12129520205902,99.77648103895082,100.42719288153177,181069900.0
3843,15807416,SPY,2008-05-30,140.470001,140.740005,139.940002,140.350006,117362000.0,0.0,1.0,101.5623361689703,101.75755391524886,101.17913736336044,101.47557762663504,117362000.0
3844,15807417,SPY,2008-05-29,139.130005,140.929993,139.080002,140.0,173927200.0,0.0,1.0,100.59349496979443,101.89491865495631,100.55734190181336,101.22251699603706,173927200.0
3845,15807418,SPY,2008-05-28,139.169998,140.0,138.0,139.300003,181288100.0,0.0,1.0,100.62241062781032,101.22251699603706,99.77648103895082,100.7164065801108,181288100.0
3846,15807419,SPY,2008-05-27,137.800003,139.0,137.529999,138.660004,168322900.0,0.0,1.0,99.63187961229612,100.49949901749396,99.43666186601756,100.2536757968612,168322900.0
3847,15807420,SPY,2008-05-23,139.050003,139.660004,137.520004,137.639999,181376400.0,0.0,1.0,100.53565208547504,100.97669377540431,99.42943530132204,99.5161938436573,181376400.0
3848,15807421,SPY,2008-05-22,139.429993,140.169998,139.0,139.509995,170820400.0,0.0,1.0,100.81039168714165,101.34542860635344,100.49949901749396,100.86823457146104,170820400.0
3849,15807422,SPY,2008-05-21,141.809998,142.119995,139.0,139.490005,252724800.0,0.0,1.0,102.53117809116416,102.7553114954586,100.49949901749396,100.85378144206996,252724800.0
3850,15807423,SPY,2008-05-20,142.270004,142.339996,141.0,141.889999,178552100.0,0.0,1.0,102.86377069940188,102.91437617375608,101.94553497458018,102.58902025246556,178552100.0
3851,15807424,SPY,2008-05-19,142.809998,144.300003,142.300003,143.050003,165664400.0,0.0,1.0,103.25419606970728,104.33149647282644,102.88546051574018,103.42772399964753,165664400.0
3852,15807425,SPY,2008-05-16,142.860001,142.869995,141.610001,142.660004,204236800.0,0.0,1.0,103.29034913768838,103.29757497936592,102.38657666450948,103.14574771103368,204236800.0
3853,15807426,SPY,2008-05-15,141.039993,142.630005,140.830002,142.529999,166927000.0,0.0,1.0,101.97445063259607,103.12405789469535,101.82262336426382,103.0517517587332,166927000.0
3854,15807427,SPY,2008-05-14,141.070007,142.199997,140.460007,140.770004,181910800.0,0.0,1.0,101.99615129420404,102.813154379778,101.55511032729274,101.7792437315872,181910800.0
3855,15807428,SPY,2008-05-13,140.800003,140.889999,139.729996,140.479996,159132200.0,0.0,1.0,101.8009335479255,101.86600227392246,101.02729924975851,101.56956273366583,159132200.0
3856,15807429,SPY,2008-05-12,139.25,140.559998,138.729996,140.460007,147865900.0,0.0,1.0,100.68025351212972,101.62740561798526,100.3042812712154,101.55511032729274,147865900.0
