Date,ARKK,SPY,ZF=F,ZN=F,ZT=F
2015-09-09,18.129806518554688,164.6883544921875,120.0078125,128.0,109.5078125
2015-09-10,18.0576114654541,165.58457946777344,119.90625,127.734375,109.515625
2015-09-11,18.14785385131836,166.33700561523438,120.140625,128.109375,109.546875
2015-09-14,18.11175537109375,165.71981811523438,120.140625,128.125,109.515625
2015-09-15,18.346389770507812,167.7912139892578,119.671875,126.703125,109.3984375
2015-09-16,18.56296730041504,169.24539184570312,119.625,126.515625,109.328125
2015-09-17,18.72540855407715,168.86495971679688,120.2109375,127.296875,109.53125
2015-09-18,18.436630249023438,166.10543823242188,120.4921875,127.96875,109.578125
2015-09-21,18.319313049316406,166.96376037597656,120.203125,127.375,109.5234375
2015-09-22,17.94029426574707,164.7966766357422,120.5390625,128.109375,109.609375
2015-09-23,17.904197692871094,164.5331573486328,120.46875,127.96875,109.609375
2015-09-24,17.696640014648438,163.9383087158203,120.546875,128.125,109.640625
2015-09-25,17.50712776184082,163.89581298828125,120.40625,127.84375,109.6171875
2015-09-28,17.14615821838379,159.78245544433594,120.65625,128.4375,109.6640625
2015-09-29,16.86640167236328,159.87596130371094,120.8828125,128.8125,109.7109375
2015-09-30,16.956647872924805,162.8589630126953,120.8359375,128.734375,109.71875
2015-10-01,16.722015380859375,163.2838897705078,120.5,128.75,109.5
2015-10-02,17.218347549438477,165.72296142578125,120.9609375,129.34375,109.65625
2015-10-05,17.615419387817383,168.67202758789062,120.6640625,128.828125,109.5859375
2015-10-06,17.353715896606445,168.0940704345703,120.75,129.03125,109.609375
2015-10-07,17.60639762878418,169.4708709716797,120.5703125,128.8125,109.5625
2015-10-08,17.49810218811035,171.00067138671875,120.4296875,128.46875,109.546875
2015-10-09,17.890661239624023,171.10264587402344,120.390625,128.484375,109.53125
2015-10-12,17.750783920288086,171.26412963867188,120.5390625,128.765625,109.5546875
2015-10-13,17.6876163482666,170.1847381591797,120.625,128.859375,109.5859375
2015-10-14,17.597373962402344,169.36891174316406,121.0390625,129.546875,109.71875
2015-10-15,17.619932174682617,171.969482421875,120.7421875,129.125,109.6328125
2015-10-16,17.877124786376953,172.7513427734375,120.6796875,129.03125,109.6015625
2015-10-19,17.877124786376953,172.8363494873047,120.7109375,128.96875,109.6328125
2015-10-20,17.593759536743164,172.6154022216797,120.4765625,128.5625,109.5546875
2015-10-21,17.74176025390625,171.54454040527344,120.59375,128.875,109.5703125
2015-10-22,17.551347732543945,174.44253540039062,120.65625,128.9375,109.625
2015-10-23,17.877124786376953,176.35475158691406,120.3203125,128.421875,109.546875
2015-10-26,17.850053787231445,175.9213409423828,120.3984375,128.59375,109.546875
2015-10-27,17.696640014648438,175.58139038085938,120.609375,128.921875,109.6015625
2015-10-28,17.88614845275879,177.57855224609375,120.0546875,128.203125,109.40625
2015-10-29,17.7959041595459,177.4766082763672,119.78125,127.609375,109.359375
2015-10-30,17.958345413208008,176.711669921875,119.7734375,127.6875,109.328125
2015-11-02,18.463703155517578,178.80238342285156,119.5859375,127.375,109.28125
2015-11-03,18.459192276000977,179.32083129882812,119.4296875,127.109375,109.2421875
2015-11-04,18.803016662597656,178.77682495117188,119.203125,126.921875,109.1640625
2015-11-05,18.64419174194336,178.598388671875,119.1484375,126.828125,109.1640625
2015-11-06,18.813846588134766,178.50491333007812,118.703125,126.046875,109.0546875
2015-11-09,18.666751861572266,176.83914184570312,118.703125,126.03125,109.078125
2015-11-10,18.4393367767334,177.2471160888672,118.90625,126.296875,109.125
2015-11-11,18.400531768798828,176.5502471923828,118.7734375,126.0625,109.0703125
2015-11-12,18.084684371948242,174.0856475830078,118.828125,126.203125,109.0859375
2015-11-13,17.88614845275879,172.1309814453125,119.0625,126.53125,109.1328125
2015-11-16,17.976390838623047,174.74850463867188,119.171875,126.671875,109.15625
2015-11-17,18.001659393310547,174.6210479736328,119.1484375,126.734375,109.140625
2015-11-18,18.220048904418945,177.39161682128906,119.078125,126.65625,109.1015625
2015-11-19,18.508827209472656,177.23855590820312,119.1015625,126.78125,109.0703125
2015-11-20,18.63516616821289,177.884521484375,119.046875,126.671875,109.046875
2015-11-23,18.66223907470703,177.68052673339844,119.0859375,126.8125,109.03125
2015-11-24,18.617116928100586,177.91856384277344,119.1640625,126.90625,109.0546875
2015-11-25,18.86077117919922,177.89303588867188,119.1796875,126.984375,109.0546875
2015-11-27,19.194673538208008,178.09703063964844,119.2421875,127.078125,109.0625
2015-11-30,19.131500244140625,177.3576202392578,119.2109375,127.015625,109.0390625
2015-12-01,19.23076629638672,179.04879760742188,119.5,127.515625,109.0859375
2015-12-02,19.275890350341797,177.22161865234375,119.296875,127.296875,109.015625
2015-12-03,18.815654754638672,174.74000549316406,118.8359375,126.1875,108.9921875
2015-12-04,19.00065040588379,178.1479949951172,118.9609375,126.546875,108.9765625
2015-12-07,18.761507034301758,177.0686798095703,119.15625,126.9375,109.0
2015-12-08,18.941991806030273,175.8788299560547,119.15625,126.921875,108.984375
2015-12-09,18.693824768066406,174.51060485839844,119.40625,127.25,109.0390625
2015-12-10,19.014184951782227,174.9610137939453,119.1875,126.953125,109.0078125
2015-12-11,18.878820419311523,171.570068359375,119.7265625,127.71875,109.125
2015-12-14,18.238096237182617,172.4368896484375,119.3359375,127.03125,109.0078125
2015-12-15,18.54672622680664,174.2471160888672,119.140625,126.71875,109.0
2015-12-16,18.75248146057129,176.7966766357422,118.9140625,126.390625,108.90625
2015-12-17,18.944698333740234,174.1026153564453,118.9375,126.75,108.890625
2015-12-18,18.887845993041992,171.00100708007812,119.171875,127.125,108.953125
2015-12-21,18.833702087402344,172.41162109375,119.2265625,127.15625,108.9453125
2015-12-22,18.914918899536133,173.97610473632812,119.0078125,126.171875,108.8828125
2015-12-23,19.191965103149414,176.1304931640625,118.953125,126.0,108.875
2015-12-24,19.263004302978516,175.83981323242188,119.0078125,126.171875,108.8828125
2015-12-28,19.29160499572754,175.43801879882812,119.015625,126.265625,108.8828125
2015-12-29,19.171669006347656,177.310302734375,118.6953125,125.65625,108.8125
2015-12-30,19.227022171020508,176.05355834960938,118.7265625,125.609375,108.84375
2015-12-31,18.876434326171875,174.2924041748047,118.84375,125.90625,108.8515625
2016-01-04,18.461265563964844,171.8558807373047,118.46875,126.15625,108.6640625
2016-01-05,18.6088809967041,172.14654541015625,118.546875,126.25,108.6640625
2016-01-06,18.295194625854492,169.97509765625,118.9296875,126.859375,108.765625
2016-01-07,17.5755672454834,165.8970947265625,119.140625,127.109375,108.8203125
2016-01-08,17.372594833374023,164.0760955810547,119.34375,127.40625,108.8515625
2016-01-11,16.763675689697266,164.2385711669922,119.375,127.359375,108.8984375
2016-01-12,17.008167266845703,165.56370544433594,119.5546875,127.828125,108.921875
2016-01-13,16.486896514892578,161.43443298339844,119.6796875,128.0625,108.953125
2016-01-14,16.634510040283203,164.08465576171875,119.6875,127.828125,108.984375
2016-01-15,15.979464530944824,160.56239318847656,120.0390625,128.453125,109.09375
2016-01-19,16.14553451538086,160.776123046875,119.9765625,128.390625,109.0703125
2016-01-20,15.730360984802246,158.71580505371094,120.2578125,128.875,109.15625
2016-01-21,15.868753433227539,159.60491943359375,120.1953125,128.671875,109.1484375
2016-01-22,16.173213958740234,162.8792266845703,119.9921875,128.375,109.09375
2016-01-25,15.979464530944824,160.41709899902344,120.0390625,128.546875,109.1015625
2016-01-26,15.730360984802246,162.60568237304688,120.1875,128.8125,109.15625
2016-01-27,15.570751190185547,160.83602905273438,120.2265625,128.859375,109.1796875
2016-01-28,15.20447826385498,161.67381286621094,120.3515625,129.03125,109.2109375
2016-01-29,15.444355010986328,165.614990234375,120.671875,129.578125,109.3125
2016-02-01,15.568907737731934,165.5550994873047,120.40625,129.171875,109.234375
2016-02-02,15.186025619506836,162.57142639160156,120.9140625,130.09375,109.359375
2016-02-03,15.100226402282715,163.54608154296875,120.9609375,130.015625,109.3984375
2016-02-04,15.24138355255127,163.8025360107422,121.078125,130.265625,109.4296875
2016-02-05,14.300329208374023,160.68212890625,121.0390625,130.359375,109.3984375
2016-02-08,13.654509544372559,158.5191650390625,121.5546875,131.296875,109.546875
2016-02-09,13.709864616394043,158.52767944335938,121.53125,131.3125,109.5234375
2016-02-10,13.889771461486816,158.39089965820312,121.59375,131.5,109.5078125
2016-02-11,13.636055946350098,156.33055114746094,121.8046875,132.03125,109.6328125
2016-02-12,13.792898178100586,159.5536346435547,121.3125,131.0625,109.4921875
2016-02-16,14.346461296081543,162.24659729003906,121.234375,130.90625,109.453125
2016-02-17,14.88156795501709,164.8968505859375,121.0,130.4375,109.390625
2016-02-18,14.826212882995605,164.22149658203125,121.234375,130.921875,109.4375
2016-02-19,14.853890419006348,164.14456176757812,121.140625,130.90625,109.3671875
2016-02-22,15.19525146484375,166.5211944580078,121.0390625,130.78125,109.3359375
2016-02-23,15.038410186767578,164.4181365966797,121.1484375,130.9375,109.359375
2016-02-24,15.16757583618164,165.17041015625,121.1875,131.0,109.390625
2016-02-25,15.2506103515625,167.17095947265625,121.46875,131.453125,109.4453125
2016-02-26,15.702683448791504,166.7862091064453,121.0078125,130.75,109.2734375
2016-02-29,15.776493072509766,165.4781494140625,121.1015625,130.90625,109.2890625
2016-03-01,16.13169288635254,169.36807250976562,120.6484375,130.0,109.1640625
2016-03-02,16.357730865478516,170.1289825439453,120.5234375,129.75,109.15625
2016-03-03,16.740612030029297,170.7958221435547,120.609375,129.921875,109.171875
2016-03-04,17.10504150390625,171.35147094726562,120.328125,129.5,109.109375
2016-03-07,17.077362060546875,171.48829650878906,120.15625,129.34375,109.0625
2016-03-08,16.800579071044922,169.61598205566406,120.4765625,129.921875,109.125
2016-03-09,16.588380813598633,170.45384216308594,120.3125,129.484375,109.09375
2016-03-10,16.434309005737305,170.5906219482422,120.0625,129.0625,109.03125
2016-03-11,16.542251586914062,173.3434600830078,119.8828125,128.796875,108.9765625
2016-03-14,16.975875854492188,173.12118530273438,119.890625,128.875,108.96875
2016-03-15,16.459218978881836,172.83909606933594,119.8359375,128.859375,108.9609375
2016-03-16,16.597606658935547,173.83934020996094,120.3046875,129.296875,109.1484375
2016-03-17,16.699094772338867,174.9422149658203,120.453125,129.5625,109.1640625
2016-03-18,17.07551383972168,175.629638671875,120.6640625,129.859375,109.21875
